Year,zone,bottomtemp,growth,upper,lower
2001,NEWCASTLE,16.72465839,0.207875594,0.212978798,0.202772389
2002,NEWCASTLE,16.40473916,0.209309723,0.214328874,0.204290573
2003,NEWCASTLE,16.24224296,0.210234091,0.214206485,0.206261696
2004,NEWCASTLE,16.26352574,0.218271504,0.22118752,0.215355489
2005,NEWCASTLE,16.05480745,0.206827038,0.208243085,0.205410992
2006,NEWCASTLE,16.53863353,0.20933838,0.210825431,0.207851328
1981,NSW,14.92914131,0.169957902,0.191830423,0.148085382
1982,NSW,15.05132035,0.167179726,0.188075492,0.14628396
1983,NSW,14.93084189,0.136260672,0.153049207,0.119472137
1984,NSW,14.86740881,0.153288006,0.172042544,0.134533468
1985,NSW,15.13007356,0.168480044,0.189029373,0.147930714
1986,NSW,14.98026908,0.141794795,0.156765915,0.126823675
1987,NSW,14.99608334,0.129305115,0.141428287,0.117181944
1988,NSW,15.27688017,0.143221489,0.156579842,0.129863136
1989,NSW,15.3261208,0.150741094,0.164905684,0.136576504
1990,NSW,15.21927339,0.140770357,0.151869257,0.129671456
1991,NSW,15.08199568,0.142851043,0.152245846,0.133456241
1992,NSW,15.25305061,0.149406695,0.157169166,0.141644224
1993,NSW,15.06727237,0.152082252,0.15774137,0.146423135
1994,NSW,15.11256542,0.153266694,0.158160456,0.148372931
1995,NSW,14.78242452,0.157247289,0.161308434,0.153186144
1996,NSW,14.96444369,0.162101074,0.165225408,0.158976741
1997,NSW,15.06422789,0.156099632,0.158543748,0.153655516
1998,NSW,15.4728694,0.148452658,0.150645301,0.146260015
1999,NSW,15.42419541,0.151858716,0.154625083,0.149092349
2000,NSW,15.42405829,0.165008694,0.172893626,0.157123762
2001,NSW,15.82296725,0.154966498,0.171195377,0.13873762
2002,NSW,15.38336446,0.18360165,0.19354556,0.17365774
2003,NSW,15.43588121,0.1869838,0.192698161,0.181269439
2004,NSW,15.31116723,0.187534061,0.191099773,0.183968348
2005,NSW,15.38585949,0.192321639,0.196596343,0.188046935
2006,NSW,15.67758344,0.209035724,0.213047228,0.205024221
2007,NSW,15.43956808,0.2007126,0.203813502,0.197611697
2008,NSW,15.24655812,0.212062911,0.214813465,0.209312356
2009,NSW,15.28780887,0.214860713,0.219198125,0.210523301
1972,EBS,14.05883277,0.150059452,0.162518499,0.137600406
1973,EBS,14.09366005,0.139890316,0.14990906,0.129871573
1974,EBS,14.02585941,0.14051536,0.149115563,0.131915157
1975,EBS,13.88751149,0.138677071,0.145830775,0.131523367
1976,EBS,14.12971963,0.138877765,0.145105904,0.132649625
1977,EBS,13.94517061,0.143789595,0.149356723,0.138222466
1978,EBS,14.06477433,0.142045126,0.146978111,0.13711214
1979,EBS,13.76614286,0.151904484,0.156282334,0.147526634
1980,EBS,13.928643,0.152856817,0.15688147,0.148832163
1981,EBS,14.07006677,0.150040663,0.154492753,0.145588572
1982,EBS,14.18382109,0.155735573,0.161392048,0.150079098
1983,EBS,14.21136662,0.15201238,0.157207527,0.146817232
1984,EBS,14.0837214,0.15285544,0.158377595,0.147333285
1985,EBS,14.30266366,0.145946123,0.157104566,0.13478768
1986,EBS,14.02363252,0.15718872,0.168526508,0.145850933
1987,EBS,13.97615345,0.141000409,0.1500125,0.131988318
1988,EBS,14.51591999,0.146513295,0.153934732,0.139091857
1989,EBS,14.63282683,0.135799763,0.141074307,0.130525218
1990,EBS,14.49153968,0.135045847,0.139228661,0.130863034
1991,EBS,14.12928853,0.141102749,0.144652007,0.13755349
1992,EBS,14.35820326,0.142766493,0.14564208,0.139890906
1993,EBS,14.71187457,0.142786909,0.145073597,0.140500221
1994,EBS,14.09996376,0.143594766,0.14556961,0.141619923
1995,EBS,13.82865264,0.143126089,0.144873749,0.141378429
1996,EBS,13.81741665,0.14291913,0.144380892,0.141457368
1997,EBS,14.12821449,0.140405163,0.141688776,0.13912155
1998,EBS,14.19967359,0.145170685,0.146454281,0.143887088
1999,EBS,14.52785364,0.14660828,0.147644782,0.145571777
2000,EBS,14.65951973,0.164706477,0.166109114,0.16330384
2001,EBS,14.84797534,0.160909339,0.161994462,0.159824217
2002,EBS,14.69568653,0.161020907,0.162167522,0.159874292
2003,EBS,14.25791924,0.16341461,0.164463767,0.162365453
2004,EBS,14.44545313,0.163635916,0.164668605,0.162603227
2005,EBS,14.66526688,0.167178619,0.168564211,0.165793026
2006,EBS,14.48516309,0.174354795,0.175686929,0.173022661
2007,EBS,14.79234124,0.177989805,0.179224868,0.176754742
