Year,zone,CPUE,totalcatch,centlat,centlong,bottomtemp
1970,CBS,NA,NA,-39.6,145.8,13.93336676
1971,CBS,NA,NA,-39.6,145.8,14.09970005
1972,CBS,NA,NA,-39.6,145.8,14.06068248
1973,CBS,NA,NA,-39.6,145.8,14.20721451
1974,CBS,NA,NA,-39.6,145.8,14.1662707
1975,CBS,NA,NA,-39.6,145.8,13.98731757
1976,CBS,NA,NA,-39.6,145.8,14.05288495
1977,CBS,NA,NA,-39.6,145.8,14.07519519
1978,CBS,NA,NA,-39.6,145.8,14.09519293
1979,CBS,NA,NA,-39.6,145.8,14.19931648
1980,CBS,NA,NA,-39.6,145.8,14.12059945
1981,CBS,NA,NA,-39.6,145.8,14.2449804
1982,CBS,NA,NA,-39.6,145.8,14.124983
1983,CBS,NA,NA,-39.6,145.8,14.3852795
1984,CBS,NA,NA,-39.6,145.8,14.04046937
1985,CBS,NA,NA,-39.6,145.8,14.15980389
1986,CBS,2.848868605,29762,-39.6,145.8,13.77250549
1987,CBS,3.241716764,19170,-39.6,145.8,13.63982959
1988,CBS,1.112544996,42869,-39.6,145.8,14.31049542
1989,CBS,2.151432577,39561,-39.6,145.8,14.42081024
1990,CBS,2.186784806,11727,-39.6,145.8,14.32881961
1991,CBS,1.357167843,6682,-39.6,145.8,13.91057415
1992,CBS,0.984696423,3739,-39.6,145.8,13.98460144
1993,CBS,2.297771442,53816,-39.6,145.8,14.28545693
1994,CBS,0.856118853,10108,-39.6,145.8,13.89660697
1995,CBS,0.64419298,4233,-39.6,145.8,13.59408651
1996,CBS,0.322978557,5847,-39.6,145.8,13.76380131
1997,CBS,0.448977753,10599,-39.6,145.8,13.83514187
1998,CBS,0.3710115,6647,-39.6,145.8,13.88485402
1999,CBS,0.510184415,7320,-39.6,145.8,14.30303563
2000,CBS,0.243010988,38296,-39.6,145.8,14.45532903
2001,CBS,0.364571634,20197,-39.6,145.8,14.46086057
2002,CBS,0.473953312,8587,-39.6,145.8,14.26353407
2003,CBS,0.553365771,4520,-39.6,145.8,14.18357219
2004,CBS,0.4013858,7241.5,-39.6,145.8,13.94381916
2005,CBS,0.435099708,14637,-39.6,145.8,14.39627902
2006,CBS,0.659212021,14953,-39.6,145.8,14.10362741
2007,CBS,0.604509699,7569,-39.6,145.8,14.51709472
2008,CBS,0.78161338,5224,-39.6,145.8,14.34234136
2009,CBS,0.526968479,3534,-39.6,145.8,14.34487817
2010,CBS,0.621861696,4950.3,-39.6,145.8,14.5533144
2011,CBS,,,-39.6,145.8,14.40476958
