zone,Batch,Fish_Number,code,gear,Readability,yearcap,month,area,sex,floorlength,AdjAge,theta,reader,Edge_Type,Comments from ager,radius,FishID,YearClass,Age,Year,Increment,maturity
EBS,444,1,4441,DS,3,2010,1,EBSBlank,F,40,9,0,simon,1,,1.38,fish1000,2001,1,2010,0.35,juvenile
EBS,444,1,4441,DS,3,2010,1,EBSBlank,M,40,9,0,simon,1,,1.38,fish1000,2001,2,2002,0.193,juvenile
EBS,444,1,4441,DS,3,2010,1,EBSBlank,M,40,9,0,simon,1,,1.38,fish1000,2001,3,2003,0.154,juvenile
EBS,444,1,4441,DS,3,2010,1,EBSBlank,F,40,9,0,simon,1,,1.38,fish1000,2001,4,2004,0.179,juvenile
EBS,444,1,4441,DS,3,2010,1,EBSBlank,M,40,9,0,simon,1,,1.38,fish1000,2001,5,2005,0.076,juvenile
EBS,444,1,4441,DS,3,2010,1,EBSBlank,M,40,9,0,simon,1,,1.38,fish1000,2001,6,2006,0.135,adult
EBS,444,1,4441,DS,3,2010,1,EBSBlank,M,40,9,0,simon,1,,1.38,fish1000,2001,7,2007,0.103,adult
EBS,444,1,4441,DS,3,2010,1,EBSBlank,M,40,9,0,simon,1,,1.38,fish1000,2001,8,2008,0.097,adult
EBS,444,2,4442,DS,2,2010,1,EBSBlank,F,30,8,0,simon,1,poss + 1 on edge ,1.256,fish1001,2002,1,2010,0.329,juvenile
EBS,444,2,4442,DS,2,2010,1,EBSBlank,F,30,8,0,simon,1,poss + 1 on edge ,1.256,fish1001,2002,2,2003,0.153,juvenile
EBS,444,2,4442,DS,2,2010,1,EBSBlank,F,30,8,0,simon,1,poss + 1 on edge ,1.256,fish1001,2002,3,2004,0.148,juvenile
EBS,444,2,4442,DS,2,2010,1,EBSBlank,F,30,8,0,simon,1,poss + 1 on edge ,1.256,fish1001,2002,4,2005,0.192,juvenile
EBS,444,2,4442,DS,2,2010,1,EBSBlank,F,30,8,0,simon,1,poss + 1 on edge ,1.256,fish1001,2002,5,2006,0.1,juvenile
EBS,444,2,4442,DS,2,2010,1,EBSBlank,M,30,8,0,simon,1,poss + 1 on edge ,1.256,fish1001,2002,6,2007,0.147,adult
EBS,444,2,4442,DS,2,2010,1,EBSBlank,M,30,8,0,simon,1,poss + 1 on edge ,1.256,fish1001,2002,7,2008,0.093,adult
EBS,444,3,4443,DS,3,2010,1,EBSBlank,F,32,5,0,simon,1,,1.001,fish1002,2005,1,2010,0.269,juvenile
EBS,444,3,4443,DS,3,2010,1,EBSBlank,F,32,5,0,simon,1,,1.001,fish1002,2005,2,2006,0.302,juvenile
EBS,444,3,4443,DS,3,2010,1,EBSBlank,F,32,5,0,simon,1,,1.001,fish1002,2005,3,2007,0.172,juvenile
EBS,444,3,4443,DS,3,2010,1,EBSBlank,F,32,5,0,simon,1,,1.001,fish1002,2005,4,2008,0.173,juvenile
EBS,444,4,4444,DS,3,2010,1,EBSBlank,M,48,9,0,simon,1,poss 9 ,1.464,fish1003,2001,1,2010,0.296,juvenile
EBS,444,4,4444,DS,3,2010,1,EBSBlank,F,48,9,0,simon,1,poss 9 ,1.464,fish1003,2001,2,2002,0.275,juvenile
EBS,444,4,4444,DS,3,2010,1,EBSBlank,F,48,9,0,simon,1,poss 9 ,1.464,fish1003,2001,3,2003,0.202,juvenile
EBS,444,4,4444,DS,3,2010,1,EBSBlank,F,48,9,0,simon,1,poss 9 ,1.464,fish1003,2001,4,2004,0.125,juvenile
EBS,444,4,4444,DS,3,2010,1,EBSBlank,M,48,9,0,simon,1,poss 9 ,1.464,fish1003,2001,5,2005,0.122,juvenile
EBS,444,4,4444,DS,3,2010,1,EBSBlank,M,48,9,0,simon,1,poss 9 ,1.464,fish1003,2001,6,2006,0.136,adult
EBS,444,4,4444,DS,3,2010,1,EBSBlank,M,48,9,0,simon,1,poss 9 ,1.464,fish1003,2001,7,2007,0.105,adult
EBS,444,4,4444,DS,3,2010,1,EBSBlank,F,48,9,0,simon,1,poss 9 ,1.464,fish1003,2001,8,2008,0.1,adult
EBS,444,5,4445,DS,2,2010,1,EBSBlank,M,39,8,0,simon,1,first zone pretty close not sure ?,1.315,fish1004,2002,1,2010,0.262,juvenile
EBS,444,5,4445,DS,2,2010,1,EBSBlank,M,39,8,0,simon,1,first zone pretty close not sure ?,1.315,fish1004,2002,2,2003,0.165,juvenile
EBS,444,5,4445,DS,2,2010,1,EBSBlank,M,39,8,0,simon,1,first zone pretty close not sure ?,1.315,fish1004,2002,3,2004,0.237,juvenile
EBS,444,5,4445,DS,2,2010,1,EBSBlank,M,39,8,0,simon,1,first zone pretty close not sure ?,1.315,fish1004,2002,4,2005,0.12,juvenile
EBS,444,5,4445,DS,2,2010,1,EBSBlank,M,39,8,0,simon,1,first zone pretty close not sure ?,1.315,fish1004,2002,5,2006,0.166,juvenile
EBS,444,5,4445,DS,2,2010,1,EBSBlank,M,39,8,0,simon,1,first zone pretty close not sure ?,1.315,fish1004,2002,6,2007,0.143,adult
EBS,444,5,4445,DS,2,2010,1,EBSBlank,F,39,8,0,simon,1,first zone pretty close not sure ?,1.315,fish1004,2002,7,2008,0.111,adult
EBS,444,6,4446,DS,3,2010,1,EBSBlank,M,29,4,0,simon,1,,0.924,fish1005,2006,1,2010,0.33,juvenile
EBS,444,6,4446,DS,3,2010,1,EBSBlank,M,29,4,0,simon,1,,0.924,fish1005,2006,2,2007,0.276,juvenile
EBS,444,6,4446,DS,3,2010,1,EBSBlank,F,29,4,0,simon,1,,0.924,fish1005,2006,3,2008,0.286,juvenile
EBS,444,7,4447,DS,3,2010,1,EBSBlank,M,37,9,0,simon,1,,1.349,fish1006,2001,1,2010,0.307,juvenile
EBS,444,7,4447,DS,3,2010,1,EBSBlank,M,37,9,0,simon,1,,1.349,fish1006,2001,2,2002,0.269,juvenile
EBS,444,7,4447,DS,3,2010,1,EBSBlank,F,37,9,0,simon,1,,1.349,fish1006,2001,3,2003,0.214,juvenile
EBS,444,7,4447,DS,3,2010,1,EBSBlank,F,37,9,0,simon,1,,1.349,fish1006,2001,4,2004,0.109,juvenile
EBS,444,7,4447,DS,3,2010,1,EBSBlank,F,37,9,0,simon,1,,1.349,fish1006,2001,5,2005,0.128,juvenile
EBS,444,7,4447,DS,3,2010,1,EBSBlank,M,37,9,0,simon,1,,1.349,fish1006,2001,6,2006,0.115,adult
EBS,444,7,4447,DS,3,2010,1,EBSBlank,M,37,9,0,simon,1,,1.349,fish1006,2001,7,2007,0.083,adult
EBS,444,7,4447,DS,3,2010,1,EBSBlank,M,37,9,0,simon,1,,1.349,fish1006,2001,8,2008,0.08,adult
EBS,444,8,4448,DS,2,2010,1,EBSBlank,F,46,8,0,simon,3,,1.517,fish1007,2002,1,2010,0.299,juvenile
EBS,444,8,4448,DS,2,2010,1,EBSBlank,F,46,8,0,simon,3,,1.517,fish1007,2002,2,2003,0.276,juvenile
EBS,444,8,4448,DS,2,2010,1,EBSBlank,M,46,8,0,simon,3,,1.517,fish1007,2002,3,2004,0.263,juvenile
EBS,444,8,4448,DS,2,2010,1,EBSBlank,M,46,8,0,simon,3,,1.517,fish1007,2002,4,2005,0.191,juvenile
EBS,444,8,4448,DS,2,2010,1,EBSBlank,M,46,8,0,simon,3,,1.517,fish1007,2002,5,2006,0.127,juvenile
EBS,444,8,4448,DS,2,2010,1,EBSBlank,M,46,8,0,simon,3,,1.517,fish1007,2002,6,2007,0.103,adult
EBS,444,8,4448,DS,2,2010,1,EBSBlank,F,46,8,0,simon,3,,1.517,fish1007,2002,7,2008,0.124,adult
EBS,444,8,4448,DS,2,2010,1,EBSBlank,M,46,8,0,simon,3,,1.517,fish1007,2002,8,2009,0.111,adult
EBS,444,9,4449,DS,3,2010,1,EBSBlank,M,43,7,0,simon,3,,1.314,fish1008,2003,1,2010,0.292,juvenile
EBS,444,9,4449,DS,3,2010,1,EBSBlank,F,43,7,0,simon,3,,1.314,fish1008,2003,2,2004,0.231,juvenile
EBS,444,9,4449,DS,3,2010,1,EBSBlank,F,43,7,0,simon,3,,1.314,fish1008,2003,3,2005,0.207,juvenile
EBS,444,9,4449,DS,3,2010,1,EBSBlank,M,43,7,0,simon,3,,1.314,fish1008,2003,4,2006,0.177,juvenile
EBS,444,9,4449,DS,3,2010,1,EBSBlank,F,43,7,0,simon,3,,1.314,fish1008,2003,5,2007,0.196,juvenile
EBS,444,9,4449,DS,3,2010,1,EBSBlank,F,43,7,0,simon,3,,1.314,fish1008,2003,6,2008,0.083,adult
EBS,444,9,4449,DS,3,2010,1,EBSBlank,F,43,7,0,simon,3,,1.314,fish1008,2003,7,2009,0.095,adult
EBS,445,1,4451,DS,3,2010,1,EBSBlank,F,42,7,0,simon,1,,1.403,fish1009,2003,1,2010,0.273,juvenile
EBS,445,1,4451,DS,3,2010,1,EBSBlank,F,42,7,0,simon,1,,1.403,fish1009,2003,2,2004,0.234,juvenile
EBS,445,1,4451,DS,3,2010,1,EBSBlank,F,42,7,0,simon,1,,1.403,fish1009,2003,3,2005,0.261,juvenile
EBS,445,1,4451,DS,3,2010,1,EBSBlank,F,42,7,0,simon,1,,1.403,fish1009,2003,4,2006,0.242,juvenile
EBS,445,1,4451,DS,3,2010,1,EBSBlank,F,42,7,0,simon,1,,1.403,fish1009,2003,5,2007,0.128,juvenile
EBS,445,1,4451,DS,3,2010,1,EBSBlank,F,42,7,0,simon,1,,1.403,fish1009,2003,6,2008,0.173,adult
EBS,445,2,4452,DS,3,2010,1,EBSBlank,F,44,8,0,simon,1,poss only 6,1.345,fish1010,2002,1,2010,0.365,juvenile
EBS,445,2,4452,DS,3,2010,1,EBSBlank,F,44,8,0,simon,1,poss only 6,1.345,fish1010,2002,2,2003,0.216,juvenile
EBS,445,2,4452,DS,3,2010,1,EBSBlank,F,44,8,0,simon,1,poss only 6,1.345,fish1010,2002,3,2004,0.255,juvenile
EBS,445,2,4452,DS,3,2010,1,EBSBlank,F,44,8,0,simon,1,poss only 6,1.345,fish1010,2002,4,2005,0.071,juvenile
EBS,445,2,4452,DS,3,2010,1,EBSBlank,F,44,8,0,simon,1,poss only 6,1.345,fish1010,2002,5,2006,0.09,juvenile
EBS,445,2,4452,DS,3,2010,1,EBSBlank,F,44,8,0,simon,1,poss only 6,1.345,fish1010,2002,6,2007,0.102,adult
EBS,445,2,4452,DS,3,2010,1,EBSBlank,F,44,8,0,simon,1,poss only 6,1.345,fish1010,2002,7,2008,0.122,adult
EBS,445,3,4453,DS,2,2010,1,EBSBlank,M,43,9,0,simon,1,,1.441,fish1011,2001,1,2010,0.309,juvenile
EBS,445,3,4453,DS,2,2010,1,EBSBlank,M,43,9,0,simon,1,,1.441,fish1011,2001,2,2002,0.278,juvenile
EBS,445,3,4453,DS,2,2010,1,EBSBlank,M,43,9,0,simon,1,,1.441,fish1011,2001,3,2003,0.189,juvenile
EBS,445,3,4453,DS,2,2010,1,EBSBlank,M,43,9,0,simon,1,,1.441,fish1011,2001,4,2004,0.165,juvenile
EBS,445,3,4453,DS,2,2010,1,EBSBlank,M,43,9,0,simon,1,,1.441,fish1011,2001,5,2005,0.126,juvenile
EBS,445,3,4453,DS,2,2010,1,EBSBlank,M,43,9,0,simon,1,,1.441,fish1011,2001,6,2006,0.111,adult
EBS,445,3,4453,DS,2,2010,1,EBSBlank,M,43,9,0,simon,1,,1.441,fish1011,2001,7,2007,0.126,adult
EBS,445,3,4453,DS,2,2010,1,EBSBlank,M,43,9,0,simon,1,,1.441,fish1011,2001,8,2008,0.093,adult
EBS,445,4,4454,DS,2,2010,1,EBSBlank,F,40,5,0,simon,1,ignored close inner,1.158,fish1012,2005,1,2010,0.391,juvenile
EBS,445,4,4454,DS,2,2010,1,EBSBlank,F,40,5,0,simon,1,ignored close inner,1.158,fish1012,2005,2,2006,0.223,juvenile
EBS,445,4,4454,DS,2,2010,1,EBSBlank,F,40,5,0,simon,1,ignored close inner,1.158,fish1012,2005,3,2007,0.183,juvenile
EBS,445,4,4454,DS,2,2010,1,EBSBlank,F,40,5,0,simon,1,ignored close inner,1.158,fish1012,2005,4,2008,0.207,juvenile
EBS,445,5,4455,DS,4,2010,1,EBSBlank,F,44,8,0,simon,3,,1.599,fish1013,2002,1,2010,0.376,juvenile
EBS,445,5,4455,DS,4,2010,1,EBSBlank,F,44,8,0,simon,3,,1.599,fish1013,2002,2,2003,0.334,juvenile
EBS,445,5,4455,DS,4,2010,1,EBSBlank,F,44,8,0,simon,3,,1.599,fish1013,2002,3,2004,0.256,juvenile
EBS,445,5,4455,DS,4,2010,1,EBSBlank,F,44,8,0,simon,3,,1.599,fish1013,2002,4,2005,0.114,juvenile
EBS,445,5,4455,DS,4,2010,1,EBSBlank,F,44,8,0,simon,3,,1.599,fish1013,2002,5,2006,0.142,juvenile
EBS,445,5,4455,DS,4,2010,1,EBSBlank,F,44,8,0,simon,3,,1.599,fish1013,2002,6,2007,0.103,adult
EBS,445,5,4455,DS,4,2010,1,EBSBlank,F,44,8,0,simon,3,,1.599,fish1013,2002,7,2008,0.107,adult
EBS,445,5,4455,DS,4,2010,1,EBSBlank,F,44,8,0,simon,3,,1.599,fish1013,2002,8,2009,0.156,adult
